node,degree,tx_msgs,rx_msgs,tx_bytes,rx_bytes,cpu_time_s,radio_time_s,battery_remaining_mJ,beacon_multiplier_final,energy_used_mJ,cpu_energy_mJ
0,4,85,268,3440,11492,0.0894,0.477824,4957.05,1,42.94999999999982,1.3409999999999997
1,17,86,1039,3472,45416,0.28165,1.564416,4942.26,1,57.73999999999978,4.22475
2,16,94,979,3728,42668,0.2697,1.484672,4941.65,1,58.350000000000364,4.0455
3,11,83,669,3376,29160,0.1888,1.041152,4951.1,1,48.899999999999636,2.832
4,13,86,808,3472,35252,0.2236,1.239168,4945.43,1,54.56999999999971,3.3539999999999996
5,8,88,496,3536,21488,0.14655,0.800768,4954.02,1,45.97999999999956,2.1982500000000003
6,14,81,846,3312,36972,0.2316,1.289088,4947.21,1,52.789999999999964,3.474
7,20,91,1208,3632,52792,0.3246,1.805568,4937.13,1,62.86999999999989,4.869
8,15,93,926,3696,40360,0.2551,1.409792,4943.89,1,56.10999999999967,3.8265
9,18,84,1078,3408,47156,0.2913,1.618048,4940.92,1,59.07999999999993,4.3695
10,14,79,854,3248,37360,0.2337,1.299456,4946.52,1,53.47999999999956,3.5055
11,19,90,1145,3600,50020,0.31025,1.71584,4937.33,1,62.67000000000007,4.65375
12,12,96,752,3852,32716,0.21255,1.170176,4941.84,1,58.159999999999854,3.1882499999999996
13,19,87,1158,3504,50628,0.31155,1.732224,4938.06,1,61.9399999999996,4.6732499999999995
14,9,85,542,3500,23632,0.15765,0.868224,4950.81,1,49.1899999999996,2.36475
15,15,81,911,3312,39832,0.24845,1.380608,4945.12,1,54.88000000000011,3.72675
16,8,82,489,3344,21264,0.14335,0.787456,4956.24,1,43.76000000000022,2.1502499999999998
17,9,77,544,3184,23732,0.1556,0.861312,4953.93,1,46.06999999999971,2.3339999999999996
18,15,90,912,3600,39780,0.251,1.38816,4944.22,1,55.779999999999745,3.7649999999999997
19,13,74,780,3088,34152,0.2137,1.19168,4949.43,1,50.56999999999971,3.2055
20,17,82,1025,3344,44836,0.2779,1.54176,4941.55,1,58.44999999999982,4.1685
21,9,79,547,3248,23852,0.15785,0.8672,4954.48,1,45.52000000000044,2.3677499999999996
22,17,85,1037,3440,45328,0.2815,1.560576,4940.39,1,59.60999999999967,4.222499999999999
23,15,83,915,3376,40008,0.25025,1.388288,4945.43,1,54.56999999999971,3.7537499999999993
24,15,74,904,3088,39608,0.245,1.366272,4946.91,1,53.090000000000146,3.675
25,9,81,553,3312,24080,0.15895,0.876544,4953.74,1,46.26000000000022,2.38425
